# Package	Tested version	Purpose
avahi-daemon	0.8-13ubuntu6.2	Publish the Samba service with multicast DNS.
ca-certificates	20260601~24.04.1	Validate HTTPS package-repository connections.
containerd.io	2.3.5-1~ubuntu.24.04~noble	Run containers for Docker Engine.
curl	8.5.0-2ubuntu10.13	Fetch the Docker repository signing key during bootstrap.
docker-buildx-plugin	0.37.1-1~ubuntu.24.04~noble	Build Docker images.
docker-ce	5:29.8.1-1~ubuntu.24.04~noble	Run Docker Engine.
docker-ce-cli	5:29.8.1-1~ubuntu.24.04~noble	Control Docker Engine.
docker-compose-plugin	5.5.1-1~ubuntu.24.04~noble	Run Docker Compose services.
git	1:2.43.0-1ubuntu7.3	Clone and update this repository.
iptables	1.8.10-3ubuntu2	Filter ingress to Docker-published ports.
mergerfs	2.33.5-1ubuntu2	Combine the four data filesystems at /ocean.
openssh-server	1:9.6p1-3ubuntu13.19	Provide remote administration.
samba	2:4.19.5+dfsg-4ubuntu9.7	Provide Server Message Block file sharing.
ufw	0.36.2-6	Filter host input traffic.
